Portas;Bloco_Publico;Bloco_Privado
27232 - 29247;186.248.165.205;100.66.0.221
27232 - 29247;186.248.165.206;100.66.0.222
27232 - 29247;186.248.165.207;100.66.0.223
29248 - 31263;186.248.165.192;100.66.0.224
29248 - 31263;186.248.165.193;100.66.0.225
29248 - 31263;186.248.165.194;100.66.0.226
29248 - 31263;186.248.165.195;100.66.0.227
29248 - 31263;186.248.165.196;100.66.0.228
29248 - 31263;186.248.165.197;100.66.0.229
29248 - 31263;186.248.165.198;100.66.0.230
29248 - 31263;186.248.165.199;100.66.0.231
29248 - 31263;186.248.165.200;100.66.0.232
29248 - 31263;186.248.165.201;100.66.0.233
29248 - 31263;186.248.165.202;100.66.0.234
29248 - 31263;186.248.165.203;100.66.0.235
29248 - 31263;186.248.165.204;100.66.0.236
29248 - 31263;186.248.165.205;100.66.0.237
29248 - 31263;186.248.165.206;100.66.0.238
29248 - 31263;186.248.165.207;100.66.0.239
31264 - 33279;186.248.165.192;100.66.0.240
31264 - 33279;186.248.165.193;100.66.0.241
31264 - 33279;186.248.165.194;100.66.0.242
31264 - 33279;186.248.165.195;100.66.0.243
31264 - 33279;186.248.165.196;100.66.0.244
31264 - 33279;186.248.165.197;100.66.0.245
31264 - 33279;186.248.165.198;100.66.0.246
31264 - 33279;186.248.165.199;100.66.0.247
31264 - 33279;186.248.165.200;100.66.0.248
31264 - 33279;186.248.165.201;100.66.0.249
31264 - 33279;186.248.165.202;100.66.0.250
31264 - 33279;186.248.165.203;100.66.0.251
31264 - 33279;186.248.165.204;100.66.0.252
31264 - 33279;186.248.165.205;100.66.0.253
31264 - 33279;186.248.165.206;100.66.0.254
31264 - 33279;186.248.165.207;100.66.0.255
33280 - 35295;186.248.165.192;100.66.1.0
33280 - 35295;186.248.165.193;100.66.1.1
33280 - 35295;186.248.165.194;100.66.1.2
33280 - 35295;186.248.165.195;100.66.1.3
33280 - 35295;186.248.165.196;100.66.1.4
33280 - 35295;186.248.165.197;100.66.1.5
33280 - 35295;186.248.165.198;100.66.1.6
33280 - 35295;186.248.165.199;100.66.1.7
33280 - 35295;186.248.165.200;100.66.1.8
33280 - 35295;186.248.165.201;100.66.1.9
33280 - 35295;186.248.165.202;100.66.1.10
33280 - 35295;186.248.165.203;100.66.1.11
33280 - 35295;186.248.165.204;100.66.1.12
33280 - 35295;186.248.165.205;100.66.1.13
33280 - 35295;186.248.165.206;100.66.1.14
33280 - 35295;186.248.165.207;100.66.1.15
35296 - 37311;186.248.165.192;100.66.1.16
35296 - 37311;186.248.165.193;100.66.1.17
35296 - 37311;186.248.165.194;100.66.1.18
35296 - 37311;186.248.165.195;100.66.1.19
35296 - 37311;186.248.165.196;100.66.1.20
35296 - 37311;186.248.165.197;100.66.1.21
35296 - 37311;186.248.165.198;100.66.1.22
35296 - 37311;186.248.165.199;100.66.1.23
35296 - 37311;186.248.165.200;100.66.1.24
35296 - 37311;186.248.165.201;100.66.1.25
35296 - 37311;186.248.165.202;100.66.1.26
35296 - 37311;186.248.165.203;100.66.1.27
35296 - 37311;186.248.165.204;100.66.1.28
35296 - 37311;186.248.165.205;100.66.1.29
35296 - 37311;186.248.165.206;100.66.1.30
35296 - 37311;186.248.165.207;100.66.1.31
37312 - 39327;186.248.165.192;100.66.1.32
37312 - 39327;186.248.165.193;100.66.1.33
37312 - 39327;186.248.165.194;100.66.1.34
37312 - 39327;186.248.165.195;100.66.1.35
37312 - 39327;186.248.165.196;100.66.1.36
37312 - 39327;186.248.165.197;100.66.1.37
37312 - 39327;186.248.165.198;100.66.1.38
37312 - 39327;186.248.165.199;100.66.1.39
37312 - 39327;186.248.165.200;100.66.1.40
37312 - 39327;186.248.165.201;100.66.1.41
37312 - 39327;186.248.165.202;100.66.1.42
37312 - 39327;186.248.165.203;100.66.1.43
37312 - 39327;186.248.165.204;100.66.1.44
37312 - 39327;186.248.165.205;100.66.1.45
37312 - 39327;186.248.165.206;100.66.1.46
37312 - 39327;186.248.165.207;100.66.1.47
