Portas;Bloco_Publico;Bloco_Privado
23200 - 25215;186.0.148.131;100.64.5.99
23200 - 25215;186.0.148.132;100.64.5.100
23200 - 25215;186.0.148.133;100.64.5.101
23200 - 25215;186.0.148.134;100.64.5.102
23200 - 25215;186.0.148.135;100.64.5.103
23200 - 25215;186.0.148.136;100.64.5.104
23200 - 25215;186.0.148.137;100.64.5.105
23200 - 25215;186.0.148.138;100.64.5.106
23200 - 25215;186.0.148.139;100.64.5.107
23200 - 25215;186.0.148.140;100.64.5.108
23200 - 25215;186.0.148.141;100.64.5.109
23200 - 25215;186.0.148.142;100.64.5.110
23200 - 25215;186.0.148.143;100.64.5.111
23200 - 25215;186.0.148.144;100.64.5.112
23200 - 25215;186.0.148.145;100.64.5.113
23200 - 25215;186.0.148.146;100.64.5.114
23200 - 25215;186.0.148.147;100.64.5.115
23200 - 25215;186.0.148.148;100.64.5.116
23200 - 25215;186.0.148.149;100.64.5.117
23200 - 25215;186.0.148.150;100.64.5.118
23200 - 25215;186.0.148.151;100.64.5.119
23200 - 25215;186.0.148.152;100.64.5.120
23200 - 25215;186.0.148.153;100.64.5.121
23200 - 25215;186.0.148.154;100.64.5.122
23200 - 25215;186.0.148.155;100.64.5.123
23200 - 25215;186.0.148.156;100.64.5.124
23200 - 25215;186.0.148.157;100.64.5.125
23200 - 25215;186.0.148.158;100.64.5.126
23200 - 25215;186.0.148.159;100.64.5.127
25216 - 27231;186.0.148.128;100.64.5.128
25216 - 27231;186.0.148.129;100.64.5.129
25216 - 27231;186.0.148.130;100.64.5.130
25216 - 27231;186.0.148.131;100.64.5.131
25216 - 27231;186.0.148.132;100.64.5.132
25216 - 27231;186.0.148.133;100.64.5.133
25216 - 27231;186.0.148.134;100.64.5.134
25216 - 27231;186.0.148.135;100.64.5.135
25216 - 27231;186.0.148.136;100.64.5.136
25216 - 27231;186.0.148.137;100.64.5.137
25216 - 27231;186.0.148.138;100.64.5.138
25216 - 27231;186.0.148.139;100.64.5.139
25216 - 27231;186.0.148.140;100.64.5.140
25216 - 27231;186.0.148.141;100.64.5.141
25216 - 27231;186.0.148.142;100.64.5.142
25216 - 27231;186.0.148.143;100.64.5.143
25216 - 27231;186.0.148.144;100.64.5.144
25216 - 27231;186.0.148.145;100.64.5.145
25216 - 27231;186.0.148.146;100.64.5.146
25216 - 27231;186.0.148.147;100.64.5.147
25216 - 27231;186.0.148.148;100.64.5.148
25216 - 27231;186.0.148.149;100.64.5.149
25216 - 27231;186.0.148.150;100.64.5.150
25216 - 27231;186.0.148.151;100.64.5.151
25216 - 27231;186.0.148.152;100.64.5.152
25216 - 27231;186.0.148.153;100.64.5.153
25216 - 27231;186.0.148.154;100.64.5.154
25216 - 27231;186.0.148.155;100.64.5.155
25216 - 27231;186.0.148.156;100.64.5.156
25216 - 27231;186.0.148.157;100.64.5.157
25216 - 27231;186.0.148.158;100.64.5.158
25216 - 27231;186.0.148.159;100.64.5.159
27232 - 29247;186.0.148.128;100.64.5.160
27232 - 29247;186.0.148.129;100.64.5.161
27232 - 29247;186.0.148.130;100.64.5.162
27232 - 29247;186.0.148.131;100.64.5.163
27232 - 29247;186.0.148.132;100.64.5.164
27232 - 29247;186.0.148.133;100.64.5.165
27232 - 29247;186.0.148.134;100.64.5.166
27232 - 29247;186.0.148.135;100.64.5.167
27232 - 29247;186.0.148.136;100.64.5.168
27232 - 29247;186.0.148.137;100.64.5.169
27232 - 29247;186.0.148.138;100.64.5.170
27232 - 29247;186.0.148.139;100.64.5.171
27232 - 29247;186.0.148.140;100.64.5.172
27232 - 29247;186.0.148.141;100.64.5.173
27232 - 29247;186.0.148.142;100.64.5.174
27232 - 29247;186.0.148.143;100.64.5.175
27232 - 29247;186.0.148.144;100.64.5.176
27232 - 29247;186.0.148.145;100.64.5.177
27232 - 29247;186.0.148.146;100.64.5.178
27232 - 29247;186.0.148.147;100.64.5.179
27232 - 29247;186.0.148.148;100.64.5.180
27232 - 29247;186.0.148.149;100.64.5.181
27232 - 29247;186.0.148.150;100.64.5.182
27232 - 29247;186.0.148.151;100.64.5.183
27232 - 29247;186.0.148.152;100.64.5.184
27232 - 29247;186.0.148.153;100.64.5.185
27232 - 29247;186.0.148.154;100.64.5.186
27232 - 29247;186.0.148.155;100.64.5.187
27232 - 29247;186.0.148.156;100.64.5.188
27232 - 29247;186.0.148.157;100.64.5.189
27232 - 29247;186.0.148.158;100.64.5.190
27232 - 29247;186.0.148.159;100.64.5.191
29248 - 31263;186.0.148.128;100.64.5.192
29248 - 31263;186.0.148.129;100.64.5.193
29248 - 31263;186.0.148.130;100.64.5.194
29248 - 31263;186.0.148.131;100.64.5.195
29248 - 31263;186.0.148.132;100.64.5.196
29248 - 31263;186.0.148.133;100.64.5.197
29248 - 31263;186.0.148.134;100.64.5.198
29248 - 31263;186.0.148.135;100.64.5.199
29248 - 31263;186.0.148.136;100.64.5.200
29248 - 31263;186.0.148.137;100.64.5.201
29248 - 31263;186.0.148.138;100.64.5.202
29248 - 31263;186.0.148.139;100.64.5.203
29248 - 31263;186.0.148.140;100.64.5.204
29248 - 31263;186.0.148.141;100.64.5.205
29248 - 31263;186.0.148.142;100.64.5.206
29248 - 31263;186.0.148.143;100.64.5.207
29248 - 31263;186.0.148.144;100.64.5.208
29248 - 31263;186.0.148.145;100.64.5.209
29248 - 31263;186.0.148.146;100.64.5.210
29248 - 31263;186.0.148.147;100.64.5.211
29248 - 31263;186.0.148.148;100.64.5.212
29248 - 31263;186.0.148.149;100.64.5.213
29248 - 31263;186.0.148.150;100.64.5.214
29248 - 31263;186.0.148.151;100.64.5.215
29248 - 31263;186.0.148.152;100.64.5.216
29248 - 31263;186.0.148.153;100.64.5.217
29248 - 31263;186.0.148.154;100.64.5.218
29248 - 31263;186.0.148.155;100.64.5.219
29248 - 31263;186.0.148.156;100.64.5.220
29248 - 31263;186.0.148.157;100.64.5.221
29248 - 31263;186.0.148.158;100.64.5.222
29248 - 31263;186.0.148.159;100.64.5.223
31264 - 33279;186.0.148.128;100.64.5.224
31264 - 33279;186.0.148.129;100.64.5.225
31264 - 33279;186.0.148.130;100.64.5.226
31264 - 33279;186.0.148.131;100.64.5.227
31264 - 33279;186.0.148.132;100.64.5.228
31264 - 33279;186.0.148.133;100.64.5.229
31264 - 33279;186.0.148.134;100.64.5.230
31264 - 33279;186.0.148.135;100.64.5.231
31264 - 33279;186.0.148.136;100.64.5.232
31264 - 33279;186.0.148.137;100.64.5.233
31264 - 33279;186.0.148.138;100.64.5.234
31264 - 33279;186.0.148.139;100.64.5.235
31264 - 33279;186.0.148.140;100.64.5.236
31264 - 33279;186.0.148.141;100.64.5.237
31264 - 33279;186.0.148.142;100.64.5.238
31264 - 33279;186.0.148.143;100.64.5.239
31264 - 33279;186.0.148.144;100.64.5.240
31264 - 33279;186.0.148.145;100.64.5.241
31264 - 33279;186.0.148.146;100.64.5.242
31264 - 33279;186.0.148.147;100.64.5.243
31264 - 33279;186.0.148.148;100.64.5.244
31264 - 33279;186.0.148.149;100.64.5.245
31264 - 33279;186.0.148.150;100.64.5.246
31264 - 33279;186.0.148.151;100.64.5.247
31264 - 33279;186.0.148.152;100.64.5.248
31264 - 33279;186.0.148.153;100.64.5.249
31264 - 33279;186.0.148.154;100.64.5.250
31264 - 33279;186.0.148.155;100.64.5.251
31264 - 33279;186.0.148.156;100.64.5.252
31264 - 33279;186.0.148.157;100.64.5.253
31264 - 33279;186.0.148.158;100.64.5.254
31264 - 33279;186.0.148.159;100.64.5.255
33280 - 35295;186.0.148.128;100.64.6.0
33280 - 35295;186.0.148.129;100.64.6.1
33280 - 35295;186.0.148.130;100.64.6.2
33280 - 35295;186.0.148.131;100.64.6.3
33280 - 35295;186.0.148.132;100.64.6.4
33280 - 35295;186.0.148.133;100.64.6.5
33280 - 35295;186.0.148.134;100.64.6.6
33280 - 35295;186.0.148.135;100.64.6.7
33280 - 35295;186.0.148.136;100.64.6.8
33280 - 35295;186.0.148.137;100.64.6.9
33280 - 35295;186.0.148.138;100.64.6.10
33280 - 35295;186.0.148.139;100.64.6.11
33280 - 35295;186.0.148.140;100.64.6.12
33280 - 35295;186.0.148.141;100.64.6.13
33280 - 35295;186.0.148.142;100.64.6.14
33280 - 35295;186.0.148.143;100.64.6.15
33280 - 35295;186.0.148.144;100.64.6.16
33280 - 35295;186.0.148.145;100.64.6.17
33280 - 35295;186.0.148.146;100.64.6.18
33280 - 35295;186.0.148.147;100.64.6.19
33280 - 35295;186.0.148.148;100.64.6.20
33280 - 35295;186.0.148.149;100.64.6.21
33280 - 35295;186.0.148.150;100.64.6.22
33280 - 35295;186.0.148.151;100.64.6.23
33280 - 35295;186.0.148.152;100.64.6.24
33280 - 35295;186.0.148.153;100.64.6.25
33280 - 35295;186.0.148.154;100.64.6.26
33280 - 35295;186.0.148.155;100.64.6.27
33280 - 35295;186.0.148.156;100.64.6.28
33280 - 35295;186.0.148.157;100.64.6.29
33280 - 35295;186.0.148.158;100.64.6.30
33280 - 35295;186.0.148.159;100.64.6.31
35296 - 37311;186.0.148.128;100.64.6.32
35296 - 37311;186.0.148.129;100.64.6.33
35296 - 37311;186.0.148.130;100.64.6.34
35296 - 37311;186.0.148.131;100.64.6.35
35296 - 37311;186.0.148.132;100.64.6.36
35296 - 37311;186.0.148.133;100.64.6.37
35296 - 37311;186.0.148.134;100.64.6.38
35296 - 37311;186.0.148.135;100.64.6.39
35296 - 37311;186.0.148.136;100.64.6.40
35296 - 37311;186.0.148.137;100.64.6.41
35296 - 37311;186.0.148.138;100.64.6.42
35296 - 37311;186.0.148.139;100.64.6.43
35296 - 37311;186.0.148.140;100.64.6.44
35296 - 37311;186.0.148.141;100.64.6.45
35296 - 37311;186.0.148.142;100.64.6.46
35296 - 37311;186.0.148.143;100.64.6.47
35296 - 37311;186.0.148.144;100.64.6.48
35296 - 37311;186.0.148.145;100.64.6.49
35296 - 37311;186.0.148.146;100.64.6.50
35296 - 37311;186.0.148.147;100.64.6.51
35296 - 37311;186.0.148.148;100.64.6.52
35296 - 37311;186.0.148.149;100.64.6.53
35296 - 37311;186.0.148.150;100.64.6.54
35296 - 37311;186.0.148.151;100.64.6.55
35296 - 37311;186.0.148.152;100.64.6.56
35296 - 37311;186.0.148.153;100.64.6.57
35296 - 37311;186.0.148.154;100.64.6.58
35296 - 37311;186.0.148.155;100.64.6.59
35296 - 37311;186.0.148.156;100.64.6.60
35296 - 37311;186.0.148.157;100.64.6.61
35296 - 37311;186.0.148.158;100.64.6.62
35296 - 37311;186.0.148.159;100.64.6.63
37312 - 39327;186.0.148.128;100.64.6.64
37312 - 39327;186.0.148.129;100.64.6.65
37312 - 39327;186.0.148.130;100.64.6.66
